iso_formula,iso_slug,inchi,inchikey,mass_in_Da,name,version,doi,max_temperature,num_pressure_broadeners,nxsec_files,nkcoeff_files,dipole_available,cooling_function_available,specific_heat_available,continuum,hyperfine_resolved_dataset
(39K)(19F),39K-19F,InChI=1S/FH.K/h1H;/q;+1/p-1/i2*1+0,NROKBHXJSPEDAR-MHGBRSHDSA-M,57.9621099,MoLLIST,20180716,10.5281/zenodo.5716985,5000.0,0,0,0,False,False,False,False,False
(41K)(19F),41K-19F,InChI=1S/FH.K/h1H;/q;+1/p-1/i1+0;1+2,NROKBHXJSPEDAR-WMSMEIEASA-M,59.96022898,MoLLIST,20180716,10.5281/zenodo.5716988,5000.0,0,0,0,False,False,False,False,False
(39K)(16O)(1H),39K-16O-1H,InChI=1S/K.H2O/h;1H2/q+1;/p-1/i1+0;,KWYUFKZDYYNOTN-XUGDXVOUSA-M,55.96644633,OYT4,20250807,10.5281/zenodo.5716830,3500.0,0,0,0,False,False,True,False,False
(139La)(16O),139La-16O,InChI=1S/La.O/i2*1+0,PLXQGEWNITUHNB-MHGBRSHDSA-N,154.9012679,BDL,20230923,10.3847/1538-4357/ace68a,5000.0,0,0,0,False,False,False,False,True
(6Li)(35Cl),6Li-35Cl,InChI=1S/ClH.Li/h1H;/q;+1/p-1/i1+0;1-1,KWGKDLIKAYFUFQ-QCIKTKHTSA-M,40.98397547,MoLLIST,20180709,10.5281/zenodo.5716990,5000.0,0,0,0,False,False,False,False,False
(6Li)(37Cl),6Li-37Cl,InChI=1S/ClH.Li/h1H;/q;+1/p-1/i1+2;1-1,KWGKDLIKAYFUFQ-SXENEMDASA-M,42.98102538,MoLLIST,20180709,10.5281/zenodo.5716992,5000.0,0,0,0,False,False,False,False,False
(7Li)(35Cl),7Li-35Cl,InChI=1S/ClH.Li/h1H;/q;+1/p-1/i2*1+0,KWGKDLIKAYFUFQ-MHGBRSHDSA-M,41.98485723,MoLLIST,20180709,10.5281/zenodo.5716994,5000.0,0,0,0,False,False,False,False,False
(7Li)(37Cl),7Li-37Cl,InChI=1S/ClH.Li/h1H;/q;+1/p-1/i1+2;1+0,KWGKDLIKAYFUFQ-OJTQQMQBSA-M,43.98190714,MoLLIST,20180709,10.5281/zenodo.5716997,5000.0,0,0,0,False,False,False,False,False
(6Li)(19F),6Li-19F,InChI=1S/FH.Li/h1H;/q;+1/p-1/i1+0;1-1,PQXKHYXIUOZZFA-QCIKTKHTSA-M,25.01352602,MoLLIST,20180706,10.5281/zenodo.5716999,5000.0,0,0,0,False,False,False,False,False
(7Li)(19F),7Li-19F,InChI=1S/FH.Li/h1H;/q;+1/p-1/i2*1+0,PQXKHYXIUOZZFA-MHGBRSHDSA-M,26.01440777,MoLLIST,20180706,10.5281/zenodo.5717001,5000.0,0,0,0,False,False,False,False,False
(7Li)(1H),7Li-1H,InChI=1S/Li.H/i2*1+0,SIAPCJWMELPYOE-MHGBRSHDSA-N,8.02382958,CLT,20160927,10.5281/zenodo.5362931,12000.0,0,0,0,False,True,True,False,False
(7Li)(1H)+,7Li-1H_p,InChI=1S/Li.H/q+1;/i1+0;,HSOYNNFNUCWPIZ-XUGDXVOUSA-N,8.023281,CLT,20160726,10.1111/j.1365-2966.2011.18723.x,12000.0,0,0,0,False,True,False,False,False
(6Li)(16O)(1H),6Li-16O-1H,InChI=1S/Li.H2O/h;1H2/q+1;/p-1/i1-1;1+0/hH,WMFOQBRAJBCJND-JMWGVYLYSA-M,23.01786245,OYT7,20250807,10.1093/mnras/stad3226,3000.0,0,0,0,False,False,True,False,False
(7Li)(16O)(1H),7Li-16O-1H,InChI=1S/Li.H2O/h;1H2/q+1;/p-1/i2*1+0/hH,WMFOQBRAJBCJND-RTTLHEKESA-M,24.0187442,OYT7,20230529,10.1093/mnras/stad3226,3000.0,0,0,0,False,False,True,False,False
(24Mg)(19F),24Mg-19F,InChI=1S/FH.Mg/h1H;/q;+1/p-1/i2*1+0,WSXHQDSJUJYQDO-MHGBRSHDSA-M,42.98344492,MoLLIST,20180716,10.5281/zenodo.5717003,5000.0,0,0,0,False,False,False,False,False
(25Mg)(19F),25Mg-19F,InChI=1S/FH.Mg/h1H;/q;+1/p-1/i1+0;1+1,WSXHQDSJUJYQDO-LFSUVYIMSA-M,43.98424014,MoLLIST,20180716,10.5281/zenodo.5717005,5000.0,0,0,0,False,False,False,False,False
(26Mg)(19F),26Mg-19F,InChI=1S/FH.Mg/h1H;/q;+1/p-1/i1+0;1+2,WSXHQDSJUJYQDO-WMSMEIEASA-M,44.98099615,MoLLIST,20180716,10.5281/zenodo.5717007,5000.0,0,0,0,False,False,False,False,False
(24Mg)(1H),24Mg-1H,InChI=1S/Mg.H/i2*1+0,RZCHRULKKYOSQS-MHGBRSHDSA-N,24.99286673,XAB,20220211,10.1093/mnras/stac371,5000.0,0,0,0,False,False,True,False,False
(25Mg)(1H),25Mg-1H,InChI=1S/Mg.H/i1+1;1+0,RZCHRULKKYOSQS-DDBDWIKTSA-N,25.99366195,XAB,20220211,10.1093/mnras/stac371,5000.0,0,0,0,False,False,False,False,False
(26Mg)(1H),26Mg-1H,InChI=1S/Mg.H/i1+2;1+0,RZCHRULKKYOSQS-OJTQQMQBSA-N,26.99041796,XAB,20220211,10.1093/mnras/stac371,5000.0,0,0,0,False,False,False,False,False
